      8-25 =        0
      8-26 =        0
      8-27 =        0
      8-28 =        0
      8-29 =        0
      8-30 =        0
      8-31 =        0
      8-32 =        0
      8-33 =        0
      8-34 =        0
      8-35 =        0
      8-36 =        0
      8-37 =        0
      8-38 =        0
      8-39 =        0
      8-40 =        0
      9- 9 =    81.66
      9-10 =   -16.35
      9-11 =    160.2
      9-12 =    160.4
      9-13 =   -103.9
      9-14 =   -101.8
      9-15 =     -159
      9-16 =        0
      9-17 =        0
      9-18 =    -66.4
      9-19 =        0
      9-20 =        0
      9-21 =        0
      9-22 =      143
      9-23 =        0
      9-24 =    45.57
      9-25 =    50.17
      9-26 =        0
      9-27 =        0
      9-28 =        0
      9-29 =        0
      9-30 =        0
      9-31 =        0
      9-32 =        0
      9-33 =        0
      9-34 =        0
      9-35 =    158.9
      9-36 =        0
      9-37 =        0
      9-38 =        0
      9-39 =        0
      9-40 =    147.1
     10-10 =    156.7
     10-11 =   -157.3
     10-12 =   -26.35
     10-13 =   -86.64
     10-14 =   -189.6
     10-15 =   -125.3
     10-16 =        0
     10-17 =        0
     10-18 =   -190.1
     10-19 =     -169
     10-20 =        0
     10-21 =        0
     10-22 =   -148.8
     10-23 =    7.695
     10-24 =    88.72
     10-25 =    137.3
     10-26 =        0
     10-27 =        0
     10-28 =        0
     10-29 =        0
     10-30 =        0
     10-31 =        0
     10-32 =        0
     10-33 =        0
     10-34 =        0
     10-35 =        0
     10-36 =        0
     10-37 =        0
     10-38 =        0
     10-39 =        0
     10-40 =    198.3
     11-11 =    72.28
     11-12 =    86.55
     11-13 =   -141.1
     11-14 =   -70.05
     11-15 =   -140.1
     11-16 =        0
     11-17 =        0
     11-18 =    46.22
     11-19 =    73.66
     11-20 =        0
     11-21 =        0
     11-22 =   -117.9
     11-23 =   -46.59
     11-24 =    36.68
     11-25 =        0
     11-26 =        0
     11-27 =        0
     11-28 =   -61.63
     11-29 =        0
     11-30 =        0
     11-31 =        0
     11-32 =        0
     11-33 =        0
     11-34 =        0
     11-35 =   -185.8
     11-36 =        0
     11-37 =        0
     11-38 =        0
     11-39 =        0
     11-40 =    190.5
     12-12 =      133
     12-13 =    -81.1
     12-14 =   -49.12
     12-15 =   -127.7
     12-16 =        0
     12-17 =        0
     12-18 =   -50.59
     12-19 =    159.9
     12-20 =        0
     12-21 =        0
     12-22 =    44.25
     12-23 =   -28.99
     12-24 =        0
     12-25 =   -1.934
     12-26 =        0
     12-27 =        0
     12-28 =    92.97
     12-29 =        0
     12-30 =        0
     12-31 =    37.17
     12-32 =        0
     12-33 =        0
     12-34 =        0
     12-35 =        0
     12-36 =        0
     12-37 =        0
     12-38 =        0
     12-39 =        0
     12-40 =    162.8
     13-13 =    56.58
     13-14 =      -33
     13-15 =       52
     13-16 =        0
     13-17 =        0
     13-18 =    27.66
     13-19 =    170.4
     13-20 =        0
     13-21 =        0
     13-22 =    61.46
     13-23 =     51.7
     13-24 =     19.2
     13-25 =        0
     13-26 =    9.606
     13-27 =        0
     13-28 =   -61.55
     13-29 =        0
     13-30 =        0
     13-31 =        0
     13-32 =        0
     13-33 =        0
     13-34 =        0
     13-35 =   -182.1
     13-36 =        0
     13-37 =        0
     13-38 =        0
     13-39 =        0
     13-40 =    33.99
     14-14 =   -77.28
     14-15 =   -95.08
     14-16 =        0
     14-17 =        0
     14-18 =   -79.64
     14-19 =    170.8
     14-20 =        0
     14-21 =        0
     14-22 =   -163.4
     14-23 =   -149.5
     14-24 =        0
     14-25 =        0
     14-26 =        0
     14-27 =        0
     14-28 =    67.59
     14-29 =     71.7
     14-30 =        0
     14-31 =        0
     14-32 =        0
     14-33 =        0
     14-34 =        0
     14-35 =   -186.7
     14-36 =   -197.8
     14-37 =        0
     14-38 =        0
     14-39 =        0
     14-40 =    43.24
     15-15 =    45.17
     15-16 =        0
     15-17 =        0
     15-18 =    32.66
     15-19 =   -77.56
     15-20 =        0
     15-21 =        0
     15-22 =    101.4
     15-23 =    187.5
     15-24 =   -69.11
     15-25 =        0
     15-26 =        0
     15-27 =        0
     15-28 =   -194.7
     15-29 =        0
     15-30 =        0
     15-31 =        0
     15-32 =        0
     15-33 =        0
     15-34 =        0
     15-35 =   -173.4
     15-36 =   -68.34
     15-37 =        0
     15-38 =        0
     15-39 =        0
     15-40 =    29.56
     16-16 =        0
     16-17 =        0
     16-18 =        0
     16-19 =        0
     16-20 =        0
     16-21 =        0
     16-22 =        0
     16-23 =        0
     16-24 =        0
     16-25 =        0
     16-26 =        0
     16-27 =        0
     16-28 =        0
     16-29 =        0
     16-30 =        0
     16-31 =        0
     16-32 =        0
     16-33 =        0
     16-34 =        0
     16-35 =        0
     16-36 =        0
     16-37 =        0
     16-38 =        0
     16-39 =        0
     16-40 =        0
     17-17 =        0
     17-18 =        0
     17-19 =        0
     17-20 =        0
     17-21 =        0
     17-22 =        0
     17-23 =        0
     17-24 =        0
     17-25 =        0
     17-26 =        0
     17-27 =        0
     17-28 =        0
     17-29 =        0
     17-30 =        0
     17-31 =        0
     17-32 =        0
     17-33 =        0
     17-34 =        0
     17-35 =        0
     17-36 =        0
     17-37 =        0
     17-38 =        0
     17-39 =        0
     17-40 =        0
     18-18 =   -145.5
     18-19 =    103.9
     18-20 =        0
     18-21 =        0
     18-22 =   -41.28
     18-23 =    5.702
     18-24 =   -167.5
     18-25 =   -119.7
     18-26 =        0
     18-27 =        0
     18-28 =        0
     18-29 =        0
     18-30 =        0
     18-31 =        0
     18-32 =        0
     18-33 =        0
     18-34 =        0
     18-35 =   -153.7
     18-36 =        0
     18-37 =        0
     18-38 =        0
     18-39 =        0
     18-40 =    94.93
     19-19 =        0
     19-20 =        0
     19-21 =        0
     19-22 =        0
     19-23 =        0
     19-24 =        0
     19-25 =        0
     19-26 =        0
     19-27 =        0
     19-28 =        0
     19-29 =        0
     19-30 =        0
     19-31 =        0
     19-32 =        0
     19-33 =        0
     19-34 =        0
     19-35 =   -134.4
     19-36 =        0
     19-37 =        0
     19-38 =        0
     19-39 =        0
     19-40 =   -176.2
     20-20 =        0
     20-21 =        0
     20-22 =        0
     20-23 =        0
     20-24 =        0
     20-25 =        0
     20-26 =        0
     20-27 =        0
     20-28 =        0
     20-29 =        0
     20-30 =        0
     20-31 =        0
     20-32 =        0
     20-33 =        0
     20-34 =        0
     20-35 =        0
     20-36 =        0
     20-37 =        0
     20-38 =        0
     20-39 =        0
     20-40 =        0
     21-21 =        0
     21-22 =        0
     21-23 =        0
     21-24 =        0
     21-25 =        0
     21-26 =        0
     21-27 =        0
     21-28 =        0
     21-29 =        0
     21-30 =        0
     21-31 =        0
     21-32 =        0
     21-33 =        0
     21-34 =        0
     21-35 =        0
     21-36 =        0
     21-37 =        0
     21-38 =        0
     21-39 =        0
     21-40 =        0
     22-22 =        0
     22-23 =        0
     22-24 =        0
     22-25 =        0
     22-26 =        0
     22-27 =        0
     22-28 =     -163
     22-29 =        0
     22-30 =        0
     22-31 =        0
     22-32 =        0
     22-33 =        0
     22-34 =        0
     22-35 =    89.37
     22-36 =        0
     22-37 =        0
     22-38 =        0
     22-39 =        0
     22-40 =    134.7
     23-23 =        0
     23-24 =        0
     23-25 =        0
     23-26 =        0
     23-27 =        0
     23-28 =        0
     23-29 =        0
     23-30 =        0
     23-31 =        0
     23-32 =        0
     23-33 =        0
     23-34 =        0
     23-35 =   -118.7
     23-36 =        0
     23-37 =        0
     23-38 =        0
     23-39 =        0
     23-40 =    3.117
     24-24 =        0
     24-25 =        0
     24-26 =        0
     24-27 =        0
     24-28 =        0
     24-29 =        0
     24-30 =        0
     24-31 =        0
     24-32 =        0
     24-33 =        0
     24-34 =        0
     24-35 =        0
     24-36 =        0
     24-37 =        0
     24-38 =        0
     24-39 =        0
     24-40 =    198.8
     25-25 =        0
     25-26 =        0
     25-27 =        0
     25-28 =        0
     25-29 =        0
     25-30 =        0
     25-31 =        0
     25-32 =        0
     25-33 =        0
     25-34 =        0
     25-35 =        0
     25-36 =        0
     25-37 =        0
     25-38 =        0
     25-39 =        0
     25-40 =    138.4
     26-26 =        0
     26-27 =        0
     26-28 =        0
     26-29 =        0
     26-30 =        0
     26-31 =        0
     26-32 =        0
     26-33 =        0
     26-34 =        0
     26-35 =        0
     26-36 =        0
     26-37 =        0
     26-38 =        0
     26-39 =        0
     26-40 =        0
     27-27 =        0
     27-28 =        0
     27-29 =        0
     27-30 =        0
     27-31 =        0
     27-32 =        0
     27-33 =        0
     27-34 =        0
     27-35 =        0
     27-36 =        0
     27-37 =        0
     27-38 =        0
     27-39 =        0
     27-40 =        0
     28-28 =        0
     28-29 =        0
     28-30 =        0
     28-31 =        0
     28-32 =        0
     28-33 =        0
     28-34 =        0
     28-35 =        0
     28-36 =        0
     28-37 =        0
     28-38 =        0
     28-39 =        0
     28-40 =        0
     29-29 =        0
     29-30 =        0
     29-31 =        0
     29-32 =        0
     29-33 =        0
     29-34 =        0
     29-35 =        0
     29-36 =        0
     29-37 =        0
     29-38 =        0
     29-39 =        0
     29-40 =        0
     30-30 =        0
     30-31 =        0
     30-32 =        0
     30-33 =        0
     30-34 =        0
     30-35 =        0
     30-36 =        0
     30-37 =        0
     30-38 =        0
     30-39 =        0
     30-40 =        0
     31-31 =        0
     31-32 =        0
     31-33 =        0
     31-34 =        0
     31-35 =        0
     31-36 =        0
     31-37 =        0
     31-38 =        0
     31-39 =        0
     31-40 =        0
     32-32 =        0
     32-33 =        0
     32-34 =        0
     32-35 =        0
     32-36 =        0
     32-37 =        0
     32-38 =        0
     32-39 =        0
     32-40 =        0
     33-33 =        0
     33-34 =        0
     33-35 =        0
     33-36 =        0
     33-37 =        0
     33-38 =        0
     33-39 =        0
     33-40 =        0
     34-34 =        0
     34-35 =        0
     34-36 =        0
     34-37 =        0
     34-38 =        0
     34-39 =        0
     34-40 =        0
     35-35 =        0
     35-36 =        0
     35-37 =        0
     35-38 =        0
     35-39 =        0
     35-40 =        0
     36-36 =        0
     36-37 =        0
     36-38 =        0
     36-39 =        0
     36-40 =        0
     37-37 =        0
     37-38 =        0
     37-39 =        0
     37-40 =        0
     38-38 =        0
     38-39 =        0
     38-40 =        0
     39-39 =        0
     39-40 =        0
     40-40 =        0
